Customer ID,Internal Obligor ID,Obligor Name,City,Country,Industry Code,Internal Risk Rating,Taxpayer ID (TIN),Stock Exchange,Ticker Symbol,CUSIP,Internal Credit Facility ID,Origination Date,Maturity Date,Credit Facility Type,Credit Facility Purpose,Loan Amount,Outstanding Balance,Interest Rate,Collateral Type,Loan Status,Payment Frequency,Currency,Loan Grade,Syndicated Loan Flag,Disposition Flag,Guarantor ID,Guarantor Name,Guarantor Rating,Loan to Value Ratio,Debt Service Coverage Ratio,Total Assets,Total Liabilities,EBITDA,Net Income,Total Revenue,Total Equity,Cash Flow,Interest Coverage Ratio,Loan Default Probability
3.67148E+13,43afd455-5bec-4ba2-977f-5677458707bb,Byrd-Hodges,West Tanya,VA,2421,E,699-24-7781,NYSE,kVM,LllCpq,6b75d2cf-7113-4f01-a75c-9a5d5f9d2e07,21-01-2020,22-12-2033,Bridge Loan,Expansion,82096473.86,83378103.18,13.53,Real Estate,Defaulted,Annually,INR,BB,Yes,Disposed,8f348997-a08c-4233-9f04-b07a4494dc04,Ross-Thomas,E,0.89,2.88,198348339.2,284765521.4,71704332.27,1381292.81,131470163.1,96790520.21,12234012.19,8.49,0.18
9.81847E+13,0081be7b-df66-4a69-8ce8-a747fdc8a430,Hawkins Ltd,Phambury,TM,1221,B,503-44-6613,NYSE,Yey,nsVPYr,9c3be671-a5b0-4f21-bb16-84af86dea57d,12-09-2024,25-02-2032,Other,Expansion,53847536.43,25255889.98,3.22,None,Defaulted,Monthly,EUR,CCC,Yes,Disposed,85b8abc9-9f10-430f-b001-e9affcd0332b,"Callahan, Carter and Elliott",B,0.77,1.22,177709276,331093433.5,58787046.25,15052586.46,63204617.14,24353969.54,20559600.93,6.34,0.07
7.76761E+13,fa1239b6-2b29-41ba-817e-0e145f10262e,Jones PLC,South Julie,BJ,8362,B,562-91-3022,NYSE,VaX,MLchEI,45dc03ff-a368-40bd-8a6e-e07a4f4794fd,11-02-2024,16-11-2026,Revolving,Expansion,60981465.14,54628642.2,11.36,None,Active,Quarterly,EUR,BBB,No,Retained,0642af5a-9f62-4700-8cc5-df93c52fe097,"Jones, Mason and Rodgers",B,1.4,2.84,297192589.8,42870636.83,18868041.72,19796535.81,298993702,137332785.4,7815369.27,3.58,0.03
1.91126E+13,677791b8-cf16-4980-bb1d-9bbaa170360d,"Ford, Dawson and Young",Jenniferbury,HN,9541,D,645-82-9170,NYSE,BNM,gbXyZz,cc7f9904-9e02-4d96-9a70-5d55e6585d23,01-10-2020,24-10-2029,Other,Expansion,25102100.43,29227281.02,13.27,Equipment,Defaulted,Quarterly,EUR,BB,No,Disposed,d1df7ebe-b960-4523-a1fe-53229576c757,"Rowe, Silva and Ortiz",A,1.22,2.4,141634304.1,344287641.8,56209877.23,10011525.13,206116204.8,116395789.4,23439783.14,1.16,0.27
4.11481E+13,b1d3f755-935a-4c38-9045-d495adb63538,Martinez Inc,New Dominiquehaven,LC,8585,D,592-76-4089,N/A,CTd,YiwOZz,2d94ab04-09a7-4f84-88c0-0a34b28b8fbb,26-06-2023,27-01-2031,Bridge Loan,Working Capital,72009105.76,28494608.35,11.71,Equipment,Closed,Monthly,USD,BB,No,Disposed,454c9d4f-3175-49c4-b330-c045a7e9a843,"Browning, Davis and Bates",C,1.1,2.22,141690364.7,116051930.7,73977337.93,4210508.57,450459063.2,124112433.6,1497518.09,4.51,0.25
6.88725E+13,88fd8f84-c3fd-491d-bbde-2de563304dde,Whitaker-Kane,Heidifort,HT,7611,C,739-02-7462,N/A,uCq,iEYELh,4456e9b9-7040-4f26-bcd5-fe04ca149eff,30-08-2022,12-12-2034,Other,Working Capital,58923766.19,13425902.87,5.54,None,Active,Quarterly,USD,B,No,Disposed,5fb35777-282d-4056-a811-1bf13b2ce23b,"Sutton, Harris and Williams",A,1.41,1.89,190598251.5,89532897.07,83962651.95,5618370.85,431072752.3,140243059.1,19395932.03,5.66,0.04
5.62708E+13,2f1b3ba5-abce-4dc4-9019-1ff807630916,Cox-Anderson,West Charlottechester,NZ,8910,C,194-38-7822,NASDAQ,DzI,uxBcAI,85df0374-6c25-4d94-8ea3-d1dbf3ea93aa,19-01-2023,15-01-2030,Term Loan,Refinancing,4461574.46,46607558.52,11.37,Real Estate,Active,Monthly,GBP,BB,Yes,Retained,b2005897-55ac-4bc3-9aa0-1841587a268b,"Gonzalez, Marquez and Cunningham",C,0.59,2.34,317878463.6,32813677.44,38567447.54,4659131.08,450490976.4,26150694.41,12394628.82,1.13,0.11
6.88585E+13,80119b5c-5f4e-4b0a-8516-2e6f71ec2926,"Richard, Roberts and Sanders",North James,BD,1279,B,806-47-4564,NASDAQ,vmY,jIpEgR,e1d8b6d0-7e56-4eb1-9412-3af4cdca58ed,03-06-2022,06-10-2034,Bridge Loan,Expansion,29277445.28,59000102.66,2.7,Real Estate,Defaulted,Annually,INR,B,No,Disposed,fda0dd3b-9091-4bd6-9de2-a68d19d6bd31,Hood-Gray,E,1.17,2.09,90005750.47,93065671.32,75522643.77,37481146.49,13476741.43,16434131.69,8346490.12,3.97,0.29
7.25375E+13,ea759aef-7d4d-4f37-801e-02e9fd0d2601,Ryan-Perez,Shawnside,TN,1980,B,747-96-6744,N/A,lpa,VbbVtf,64b3646a-7900-4cba-8d86-dc95dab59a27,17-04-2022,29-01-2031,Other,Working Capital,99118960.83,79844255.72,8.83,Inventory,Closed,Quarterly,EUR,A,Yes,Disposed,b4aa0b22-b5a8-4a75-8e80-63232f6d2200,Smith and Sons,C,1.36,1.72,214302232.7,12984529.76,96949604.06,27132196.04,287529298,81652974.02,21049490.13,4.12,0.03
3.08716E+13,9e22b5a8-cda1-4125-b44a-417a3418a07c,Fritz-Clark,Bradleyport,GN,6038,D,770-24-8246,NASDAQ,YkS,LSFlBW,8b00f14f-5258-4108-8cfc-ff9239395c96,20-09-2022,14-10-2032,Term Loan,Refinancing,9312784.9,29441513.13,2.92,Real Estate,Active,Monthly,EUR,B,Yes,Disposed,df116f63-fd82-4aaa-b8fb-bca594926107,Barrett-Vargas,D,1.09,2.87,112276922.3,301315598.5,29157403.01,618846.22,19353690.53,85606740.54,18253363.73,9.6,0.22
1.96399E+13,3bea29ee-68ad-4435-a850-e8491b2114f6,Kim and Sons,Port Denisehaven,BG,4391,E,523-21-8983,LSE,XNW,AtVzvN,7d76e2aa-55af-4c8f-9a33-d8be954e31fe,11-08-2022,24-12-2034,Revolving,Expansion,92193011.95,75618456.89,12.25,Equipment,Defaulted,Annually,EUR,BB,Yes,Disposed,3377349b-5429-4fa1-9111-f9c628f74039,"Munoz, Wilkins and Watson",C,0.94,2.73,201498462,364499183.3,79094504.21,18168963.67,140054138.4,88318146.82,22062455.01,9.38,0.03
6.56316E+13,f51f7711-7540-4714-a191-d3753b263610,Ruiz-George,Acostafurt,IN,6940,A,179-43-6125,NASDAQ,guu,KKRJwL,802fd62f-a4a3-40a1-a6a7-a56aab92fb1f,02-07-2020,09-08-2031,Bridge Loan,Working Capital,76991432,32655100.54,2.94,Equipment,Active,Quarterly,GBP,BBB,No,Retained,0dcf8756-177b-4ac0-a8b9-3b9eda72572e,"Velasquez, Boyd and Bryant",C,0.95,2.66,297361302,302197577.1,78677461.86,49883135.34,426128512.8,191792577.4,9807463.98,9.35,0.19
7.50561E+13,f70580f8-56d3-4227-b46f-8db6376be9c7,"Powers, Mitchell and Wheeler",New Andrewland,TH,2266,C,782-07-6116,NYSE,elx,gjkeaS,f339c01a-020a-4b2f-b48d-c0ac1be9b58a,26-12-2020,25-06-2029,Other,Acquisition,88157585.65,68704406.56,10.54,None,Defaulted,Quarterly,INR,CCC,Yes,Disposed,ed7de22e-75a7-41d6-b35a-a9862a15c8b8,Ramirez LLC,B,0.74,1.21,457913402.7,196805674,62950377.23,37814522.01,385784071.2,156550126.3,20700190.19,3.49,0.26
1.79114E+13,4e96c363-7768-4948-843a-f8b1933ba19f,Santiago Group,Stephensburgh,KM,3927,E,547-20-2867,NYSE,lyq,zfbydy,b7d34336-920c-4f9c-b316-b77a512ca158,18-09-2022,07-10-2028,Bridge Loan,Working Capital,27353064.6,77606454.75,14.95,Equipment,Active,Monthly,INR,AA,Yes,Disposed,4474796b-0063-4ca1-aa5c-80e79dab5652,"Hull, Lara and Weber",D,0.91,1.02,211164980.3,221320491.6,75990911.17,32386896.97,14047948.92,77906283.39,2052619.85,6.79,0.25
6.56483E+13,ba2dbacc-ca4f-4b09-b04e-512349c0c621,Jimenez LLC,Jesseton,PT,1497,C,663-15-1185,NASDAQ,VWB,aEWbeX,8b05abcd-60fa-43eb-a1b8-f9ede281ef8a,15-02-2021,22-08-2026,Bridge Loan,Acquisition,98608702.74,14955034,3.56,Inventory,Closed,Quarterly,USD,AA,Yes,Disposed,c72deb8f-9566-416d-9c7d-819ab2a30d2f,Johnson-Blake,A,1.13,2.65,264736679,292375041.3,89162554.87,33760087.44,421116017.2,45565042.45,2850542.57,6.94,0.13
6.55606E+13,93e0cd84-5b2e-4148-990d-54720c43323d,"Pugh, Hensley and Conway",Adamfurt,DE,2825,E,673-38-0651,N/A,mJJ,vzpwmz,df146f17-8446-49b6-b24a-037302e14c79,13-02-2020,26-01-2032,Term Loan,Working Capital,3266271.21,13159009.52,7.87,None,Closed,Annually,GBP,B,Yes,Retained,7b7519db-e4b7-427e-9add-1e99e6e4f45f,"Collins, Woodard and Stone",D,1.2,1.4,20421642.21,216574322.5,59655158.55,41402081.12,32421879.71,66437357.31,10983123.34,6.26,0.13
2.88861E+13,7f074bd2-9ba9-4c47-91e9-eaf7ea410b65,Alexander and Sons,South Shannon,GB,1008,A,649-64-6989,NYSE,HYu,swUnqi,c19bbd51-f741-4388-b7c4-8d2bd3491af0,26-12-2023,11-12-2028,Other,Expansion,76965142.1,30642712.5,1.55,None,Defaulted,Annually,USD,B,No,Retained,087aa852-4e91-4276-89c1-bb2be117ee35,Taylor-Parker,E,1.24,2.5,219656690.7,284252719.7,35632903.02,5504384.88,439043027.5,179419224.5,10378522.43,5.55,0.04
1.91682E+13,1ef51cbf-6f40-42a5-94aa-b6ab993963e5,Ferguson and Sons,New Vincent,ST,5704,C,839-22-6574,NYSE,vQv,CDkiEE,c276eb80-8b5a-418e-9b28-31a0f731da78,25-04-2023,11-10-2028,Other,Working Capital,23723792.95,53047472.36,14.31,Equipment,Active,Quarterly,GBP,B,No,Retained,1a32fd4e-79fc-4b07-a198-5f990a5c574a,Harris-Gould,A,0.51,2.62,335569561.1,59551118.19,45655719.55,48260501.38,486361223.6,52599905.64,9717855.32,4.68,0.21
1.56345E+13,f443659e-c33d-4e66-9ba7-557b7bfb6f37,Hernandez-Hamilton,Kaylaside,HR,7622,B,202-18-6165,NYSE,xzt,apymcW,8260872e-f1f1-49b0-9657-5917aeb82dc0,06-12-2022,15-11-2032,Term Loan,Expansion,40701507.24,27032619.76,10.87,Real Estate,Defaulted,Annually,GBP,BB,No,Disposed,1e5da302-9dd6-46d5-b882-e52ce07f9168,Smith Ltd,E,0.92,2.84,201844842.1,384364427.5,46419392.51,6341501.9,171201752.7,194529880.3,4041441.36,4.39,0.1
1.72729E+13,9518f8a5-5099-4dcf-b53c-23289da43280,"Mcintyre, Molina and Buchanan",Bakerstad,BB,9926,D,534-33-9924,LSE,egv,IBsLIc,29190f20-9947-4f53-8b71-e9ff59f5b6d0,25-06-2022,26-04-2031,Term Loan,Working Capital,70389510.89,53506689.3,12.12,Equipment,Defaulted,Monthly,EUR,B,No,Retained,29b25aee-ed1e-44a3-a467-737f6944c9c0,Weber LLC,D,0.58,1.3,263694849.1,189414831.3,8845025.63,47024383.74,161759337.1,189726820.2,21134626.75,5.05,0.26
1.8029E+13,e9d66538-f01e-48ad-8ef7-33ebdd8974cf,"Day, Robinson and Mathews",Port Edgartown,MM,7550,D,232-85-3684,NASDAQ,tfn,hfnEKp,1977ca26-9c54-4db9-a3e2-4e6375a0637c,21-07-2024,29-04-2033,Other,Acquisition,4814634.1,73263793.56,9.3,None,Active,Monthly,USD,BBB,No,Disposed,638469d1-6379-4b7f-bdf0-f80f7649235d,"Humphrey, Arnold and Bell",C,1.31,2.78,136980756.3,257092210.3,43450828.44,34793036.87,122646126.6,184687393.8,22491420.74,4.9,0.27
7.02797E+13,afe88065-cf15-4636-a0c6-6585357b7bad,Elliott-Fletcher,East Tammy,NP,6254,B,810-18-4424,NYSE,jrw,kVLNBV,84f99e9f-1c57-416d-834e-b7ae84db1732,03-06-2023,26-07-2032,Bridge Loan,Refinancing,25293124.88,22985907.66,7.07,Inventory,Defaulted,Quarterly,GBP,BB,Yes,Disposed,7c9d4070-356e-4049-bdd5-345b71b24868,Costa Inc,A,0.56,1.9,35591456.67,266541658.9,53584302.53,26258465.23,405180307.7,59622503.49,14233895.6,3.64,0.09
6.64876E+13,7d0343f3-65e4-4752-aa4a-622ee0bfc737,Zhang-Vance,Cunninghamville,SV,2193,E,513-23-3964,N/A,lpa,HqFTOh,d045e208-b9ae-4cb8-8de3-b2c4694f18e5,11-06-2022,21-10-2033,Term Loan,Acquisition,64788545.96,1295474.56,3.23,None,Active,Quarterly,EUR,AAA,Yes,Retained,275537c8-f0a0-4549-aa09-bb37c1c177b2,Gonzalez-Pacheco,D,1.22,1.18,246867502.9,262599870.7,70357645.96,22492724.18,13127095.91,26435417.8,28663671.62,5.87,0.02
5.53049E+13,04397335-14f9-47ef-bba0-249ee3ce081d,Harrison PLC,Port Tracy,SI,9738,D,691-87-3532,LSE,qGw,BfrABO,7978fd50-68cc-406a-9f5a-b8bdd0ca869c,11-10-2020,05-08-2032,Term Loan,Refinancing,96005688.39,23376617.35,8.6,Inventory,Active,Annually,GBP,A,Yes,Retained,5f1f7ebb-411a-44f3-86dc-97ade81acb6d,Wilson Ltd,B,0.8,1.29,40637958.46,105102470.8,32343897.81,8739920.56,220422921.8,168632850.6,1624505.85,8.96,0.29
5.25682E+13,d9dde68d-df6b-4df2-8832-ddfc0bd024fc,Shelton-Merritt,New Johnmouth,CF,2209,C,787-65-8717,LSE,DMl,mikZCp,93dd024a-d705-44e1-9f48-63d5fe1c513b,19-03-2024,19-12-2034,Bridge Loan,Expansion,19797381.33,74749751.43,13.05,Real Estate,Active,Monthly,INR,BBB,No,Disposed,b2a29cee-abe9-4d83-9d29-b0a335ab803f,"Lopez, Perez and Smith",D,0.88,2.38,136470834.7,365920635.6,69721246.11,20250091.64,230555807.5,115697307.6,17061429.6,3.68,0.25
8.30938E+13,d10bff42-504b-4b6f-9922-3cb7d0905682,"Stephens, Obrien and Frye",North Jason,TV,4298,A,180-87-9311,NYSE,wwP,IVyhOX,ebdb1576-d1b7-4dfe-973d-215b42d44ec9,15-11-2020,26-05-2033,Other,Expansion,98370436.1,56928063.38,14.87,Equipment,Active,Annually,EUR,CCC,No,Retained,5cb54a75-29f2-4d62-a967-4170ac719925,Stevens-White,A,1,2.74,253184875.4,51917759.62,69473687.28,20042607.36,400214894.3,5905071.84,14535385.19,1.35,0.06
7.36868E+13,5e01caed-0054-417e-9c1e-63b2431411a6,Smith PLC,Johnsonview,CA,5169,B,684-83-1135,N/A,SnO,vBHKHy,9d02746d-1622-4d10-8e29-f1ce5b957d6d,16-07-2023,25-04-2028,Term Loan,Expansion,5003877.51,54872522.31,13.54,None,Closed,Quarterly,USD,BBB,Yes,Retained,5111281b-abef-4827-a2a0-2de6daf20313,"Wright, Payne and Fisher",C,0.83,1.31,232181092.3,126211156.6,76651209.44,1745110.39,291212289.5,47344521.26,11205167.05,3.03,0.24
2.93049E+13,11d0daa8-a434-4866-959a-496bbaabd316,"Rivera, Jones and Dyer",South Haley,BO,4251,C,335-56-6203,NYSE,kiM,aJZcGJ,d9e7c389-3502-4f5c-97a0-d1c8642e2d94,09-05-2022,04-09-2033,Term Loan,Expansion,44294712.59,73012767.91,8.63,Equipment,Closed,Annually,USD,CCC,No,Retained,080dc1ba-5be5-4985-8148-dd5098f72efe,Knox and Sons,E,1.23,2.53,452087043.5,21015713.56,52227906.37,23743902.4,159615127,47215841.38,29422389.86,9.22,0.22
1.61683E+13,b3af23f2-03ed-4031-a6e2-70a2a115c6ab,"Stephens, Nelson and Hall",Bridgetberg,TN,8411,B,898-80-9984,N/A,Cpm,AVIxWd,1af3c551-1eb3-4297-8b3f-b39105512e4f,18-04-2020,11-12-2027,Other,Refinancing,69265625.63,27527993.26,3.99,Equipment,Active,Quarterly,INR,AA,Yes,Retained,8b204b2f-57d9-4fb2-a611-7dad68a964b7,Peterson-Miller,B,0.67,2.92,63521817.43,148878601.6,14131015,41817288.96,312777002.2,82028043.65,11465722.77,5.93,0.24
1.66002E+13,ab8ba761-a9fc-45c0-a82e-c40572253029,Adams Inc,Susanbury,CI,4351,D,673-90-8702,N/A,UHI,JMGgOR,4cb47ebf-13c1-43f1-b2a8-e57ab87fe508,15-07-2022,07-05-2027,Bridge Loan,Acquisition,89747000.94,69335012.81,9.37,Inventory,Active,Monthly,EUR,CCC,No,Disposed,a21f1cac-c6e6-4873-8213-62358ebd5835,Hall-Stanley,E,1.37,2.5,449935925.4,99809279.65,24962262.02,37967357.76,250662651.6,80582898.61,8295486.11,7.25,0.21
3.23187E+13,aad34542-8553-4be3-ab1c-0babad997a64,"Perez, Smith and James",Burtonmouth,TW,1582,E,542-94-1017,N/A,JHL,DPxiah,ef4cfd91-1c87-44df-bbc1-c23c4337a23a,22-10-2023,26-04-2032,Bridge Loan,Working Capital,36951136.96,63953975.66,12.54,Equipment,Active,Annually,EUR,BB,No,Retained,fc47915c-41c5-483c-acb9-01c7f0c11428,Miller Group,C,0.87,2.16,199982646,304711208.2,81928911.36,22504151.5,368367470.5,17296048.27,2500556.89,1.59,0.17
7.70748E+13,a881ad10-b388-475e-8e82-ddd72b9adc05,Meadows LLC,South Sheryl,AL,1094,D,652-39-5742,LSE,Otg,DWolKF,6e4f97e1-7c4a-40c1-afff-c2a689a8f460,21-09-2024,01-07-2032,Other,Expansion,98278357.83,70823119.58,3.31,Equipment,Closed,Annually,EUR,BBB,No,Disposed,29c82803-c7dc-4566-b690-d5580183e8d2,Gomez PLC,A,1.34,1.92,107645460.7,399986283.8,22402901.72,9435472.23,65824026.49,64683974.59,3589425.87,3.67,0.17
6.68668E+13,46129e55-d8d8-43cc-ba51-62fca0504775,"Greer, Ford and Kelly",Port Dawnport,BO,1493,A,732-18-8372,NYSE,NzN,rCyaNE,f72515b9-f88d-4cc0-868f-aaa660fa8eae,02-04-2023,30-10-2034,Term Loan,Expansion,48081637.17,47343909.79,13.88,None,Active,Annually,INR,B,Yes,Disposed,31b5b8df-85c7-4b50-9bd5-8b0df43a2752,Mcintosh Ltd,D,1.45,2.33,98001432.34,188136157.1,17496663.39,7684117.19,498447086.3,170047502,23317338.97,8.39,0.18
6.04551E+13,667acdd5-c552-435b-9b9b-f87274e9e2e8,Dalton-Reyes,Lake Ericside,IS,9298,D,178-82-1045,N/A,OIN,vmjgrh,3be240d0-c6b1-462d-a8a3-23d6b7184285,30-05-2021,17-01-2031,Revolving,Refinancing,34453329.96,50415164.11,14.59,Inventory,Active,Quarterly,INR,AAA,No,Disposed,fbdd9596-9c9f-4c9a-846f-2753d3266f2a,"Deleon, Turner and Brown",D,1.33,2.88,497665960.5,171455542.2,25860993.23,49111378.84,105399927.7,39208278.25,9042088.04,2.14,0.25
3.88956E+13,3e0e91e4-f15f-4a6f-8585-4a88736b8a82,Hendricks Group,Joshuachester,CI,1837,E,481-50-1883,NYSE,QVg,wJNmMq,de5f1381-9f72-4806-9298-f4a3c89ffc4c,30-08-2023,20-01-2035,Other,Working Capital,70147862.84,34136567,13.38,Equipment,Closed,Annually,GBP,B,Yes,Retained,0ba495e7-18c8-4404-bca3-f0c4f0d19f37,Smith-Fernandez,D,1.38,2.38,245948783.1,247906949.9,54722760.41,8815588.46,316838949.4,170065955.9,23779199.19,3.94,0.03
2.33227E+13,514a3eae-73f7-42aa-b0e3-7ca78a4669d8,Moss Ltd,North Paul,TW,4209,B,551-96-7872,N/A,NDF,LPxwPY,08c7b4a9-e408-4df3-aa3d-bc3eb5bcc7ff,10-06-2021,02-03-2035,Bridge Loan,Refinancing,60262449.87,18194250.74,11.58,Inventory,Active,Annually,GBP,A,Yes,Disposed,4edb672d-995d-4c3d-bd9a-e487bb5dfe28,Brown Ltd,C,0.84,1.7,111129907.9,104078228.6,75378200.76,45335887.96,360036452.5,49962618.43,5955827.05,1.29,0.27
6.02727E+13,be991ad3-6c96-4cc5-80bd-f43a7b34fd54,Humphrey Ltd,Coreyberg,WS,4918,C,035-06-5964,LSE,RFW,NDyXcs,a30d45c7-f534-481b-9099-9c4878c622d1,09-03-2020,19-04-2027,Other,Expansion,59230811.78,86864938.53,13.64,Real Estate,Active,Annually,GBP,AAA,No,Disposed,14110e27-7526-4c85-95b5-87cb49a30f0f,"Barton, Smith and Brennan",D,0.58,1.48,351371183.4,59622993,14927256.87,10559310.59,124532708.5,34355748.76,15495855.4,4.55,0.04
3.55032E+13,f30e4b41-7e7a-4a11-8932-af95010eea6e,Moses Ltd,Pottsshire,IQ,9936,D,610-22-9898,NASDAQ,Fas,AdBEMa,f0143df1-07d1-43a4-8e82-6f1406194190,31-07-2023,04-01-2032,Term Loan,Working Capital,49281505.67,66597191.41,2.32,Real Estate,Closed,Monthly,GBP,AA,No,Disposed,a74060e4-1e7d-4fb8-8905-12dd21b01640,Lewis-Nguyen,D,1.07,1.59,160784436.7,129337071.8,8401603.23,13865953.13,156007702.5,117267277.5,10853940.37,4.42,0.04
